 9  Pix  0  0
 5  Pix  0  1
11  Pix  0  2
 7  Pix  0  3
 7  Pix  0  4
 3  Pix  0  5
 2  Pix  0  6
 3  Pix  0  7
 7  Pix  0  8
 6  Pix  0  9
 6  Pix  0 10
 5  Pix  0 11
 3  Pix  0 12
 8  Pix  0 13
 1  Pix  0 14
 4  Pix  0 15
 8  Pix  0 16
 5  Pix  0 17
10  Pix  0 18
 8  Pix  0 19
 4  Pix  0 20
 6  Pix  0 21
 8  Pix  0 22
 6  Pix  0 23
 5  Pix  0 24
 7  Pix  0 25
 9  Pix  0 26
10  Pix  0 27
 5  Pix  0 28
 4  Pix  0 29
 9  Pix  0 30
11  Pix  0 31
 7  Pix  0 32
11  Pix  0 33
 8  Pix  0 34
 7  Pix  0 35
 9  Pix  0 36
 3  Pix  0 37
 9  Pix  0 38
 9  Pix  0 39
 9  Pix  0 40
 8  Pix  0 41
 7  Pix  0 42
 6  Pix  0 43
10  Pix  0 44
 6  Pix  0 45
 4  Pix  0 46
 6  Pix  0 47
 7  Pix  0 48
 8  Pix  0 49
11  Pix  0 50
 7  Pix  0 51
12  Pix  0 52
 9  Pix  0 53
 8  Pix  0 54
 4  Pix  0 55
 7  Pix  0 56
 8  Pix  0 57
 8  Pix  0 58
10  Pix  0 59
10  Pix  0 60
 8  Pix  0 61
 6  Pix  0 62
 9  Pix  0 63
 8  Pix  0 64
10  Pix  0 65
12  Pix  0 66
12  Pix  0 67
 6  Pix  0 68
 6  Pix  0 69
12  Pix  0 70
12  Pix  0 71
 8  Pix  0 72
 8  Pix  0 73
 9  Pix  0 74
10  Pix  0 75
 9  Pix  0 76
 9  Pix  0 77
12  Pix  0 78
11  Pix  0 79
 4  Pix  1  0
 7  Pix  1  1
 7  Pix  1  2
 5  Pix  1  3
 6  Pix  1  4
 7  Pix  1  5
 6  Pix  1  6
 7  Pix  1  7
 4  Pix  1  8
 6  Pix  1  9
 8  Pix  1 10
 4  Pix  1 11
 4  Pix  1 12
 6  Pix  1 13
 7  Pix  1 14
 9  Pix  1 15
10  Pix  1 16
 6  Pix  1 17
11  Pix  1 18
10  Pix  1 19
 6  Pix  1 20
 9  Pix  1 21
 6  Pix  1 22
11  Pix  1 23
 6  Pix  1 24
12  Pix  1 25
 5  Pix  1 26
10  Pix  1 27
 5  Pix  1 28
 6  Pix  1 29
10  Pix  1 30
 9  Pix  1 31
 7  Pix  1 32
 7  Pix  1 33
 7  Pix  1 34
 9  Pix  1 35
 4  Pix  1 36
 6  Pix  1 37
13  Pix  1 38
 6  Pix  1 39
10  Pix  1 40
12  Pix  1 41
10  Pix  1 42
 6  Pix  1 43
 8  Pix  1 44
10  Pix  1 45
12  Pix  1 46
 3  Pix  1 47
 8  Pix  1 48
 9  Pix  1 49
11  Pix  1 50
12  Pix  1 51
 7  Pix  1 52
 8  Pix  1 53
 5  Pix  1 54
 8  Pix  1 55
13  Pix  1 56
 6  Pix  1 57
 9  Pix  1 58
 6  Pix  1 59
10  Pix  1 60
 9  Pix  1 61
 8  Pix  1 62
10  Pix  1 63
10  Pix  1 64
 7  Pix  1 65
 3  Pix  1 66
 6  Pix  1 67
11  Pix  1 68
10  Pix  1 69
10  Pix  1 70
 6  Pix  1 71
10  Pix  1 72
10  Pix  1 73
10  Pix  1 74
 5  Pix  1 75
 8  Pix  1 76
 4  Pix  1 77
 8  Pix  1 78
 6  Pix  1 79
 3  Pix  2  0
 5  Pix  2  1
 8  Pix  2  2
 7  Pix  2  3
10  Pix  2  4
 6  Pix  2  5
 8  Pix  2  6
 7  Pix  2  7
 7  Pix  2  8
 6  Pix  2  9
12  Pix  2 10
 6  Pix  2 11
 8  Pix  2 12
 9  Pix  2 13
 8  Pix  2 14
 9  Pix  2 15
 4  Pix  2 16
 8  Pix  2 17
12  Pix  2 18
 8  Pix  2 19
 7  Pix  2 20
 6  Pix  2 21
 7  Pix  2 22
12  Pix  2 23
 7  Pix  2 24
 6  Pix  2 25
 8  Pix  2 26
 9  Pix  2 27
10  Pix  2 28
 8  Pix  2 29
11  Pix  2 30
 7  Pix  2 31
 8  Pix  2 32
 8  Pix  2 33
 9  Pix  2 34
 9  Pix  2 35
 9  Pix  2 36
 4  Pix  2 37
 4  Pix  2 38
 7  Pix  2 39
12  Pix  2 40
 6  Pix  2 41
11  Pix  2 42
 4  Pix  2 43
 9  Pix  2 44
 9  Pix  2 45
10  Pix  2 46
 8  Pix  2 47
 8  Pix  2 48
 9  Pix  2 49
 7  Pix  2 50
10  Pix  2 51
 5  Pix  2 52
 8  Pix  2 53
 5  Pix  2 54
 8  Pix  2 55
12  Pix  2 56
 5  Pix  2 57
12  Pix  2 58
11  Pix  2 59
 9  Pix  2 60
 7  Pix  2 61
 7  Pix  2 62
 7  Pix  2 63
 9  Pix  2 64
12  Pix  2 65
10  Pix  2 66
11  Pix  2 67
 7  Pix  2 68
 8  Pix  2 69
11  Pix  2 70
10  Pix  2 71
 8  Pix  2 72
 7  Pix  2 73
 9  Pix  2 74
11  Pix  2 75
 9  Pix  2 76
 6  Pix  2 77
 7  Pix  2 78
 7  Pix  2 79
 8  Pix  3  0
 6  Pix  3  1
 2  Pix  3  2
 7  Pix  3  3
 7  Pix  3  4
 9  Pix  3  5
 8  Pix  3  6
 3  Pix  3  7
 4  Pix  3  8
 3  Pix  3  9
 7  Pix  3 10
 6  Pix  3 11
 5  Pix  3 12
 7  Pix  3 13
 8  Pix  3 14
11  Pix  3 15
12  Pix  3 16
 6  Pix  3 17
 5  Pix  3 18
